公立学校,城区,经度,纬度,梯队（1表示一梯队，以此类推）
上海市杨浦区水丰路小学,杨浦区,121.533965,31.289012,2
上海市杨浦区齐齐哈尔路第一小学,杨浦区,121.5221,31.265279,2
上海市虹口实验学校(小学),虹口区,121.492703,31.290948,2
上海市晋元高级中学附属学校（分部）,普陀区,121.394575,31.278668,2
上海市普陀区中山北路第一小学,普陀区,121.423434,31.251382,2
上海市长宁区复旦小学,长宁区,121.426795,31.204701,3
上海市徐汇区建襄小学,徐汇区,121.455594,31.210451,1
上海市徐汇区求知小学,徐汇区,121.423662,31.167308,2
上海师范专科学校附属小学,黄浦区,121.477649,31.203811,2
上海市黄浦区卢湾一中心小学,黄浦区,121.469168,31.213755,2
上海市黄浦区复兴东路第三小学,黄浦区,121.482416,31.222904,2
上海市黄浦区第一中心小学,黄浦区,121.49808,31.221634,2
上海市黄浦区徽宁路第三小学,黄浦区,121.488195,31.213027,2
上海市黄浦区曹光彪小学,黄浦区,121.467897,31.237119,2
上海师范大学附属卢湾实验小学,黄浦区,121.477693,31.210537,2
上外-黄浦外国语小学,黄浦区,121.489179,31.201913,1
上海市黄浦区蓬莱路第二小学,黄浦区,121.485722,31.219863,1
上海市实验小学,黄浦区,121.481293,31.224733,1
上海市徐汇区第一中心小学,徐汇区,121.454961,31.214925,2
上海市徐汇区田林第三小学,徐汇区,121.422674,31.173219,2
上海市徐汇区园南小学,徐汇区,121.436396,31.143963,2
上海师范大学第一附属小学,徐汇区,121.413555,31.15752,2
上海市徐汇区上海小学,徐汇区,121.431465,31.140711,2
上海市徐汇区汇师小学（南丹校区）,徐汇区,121.427631,31.201191,1
上海市徐汇区向阳小学,徐汇区,121.45229,31.209898,1
上海市长宁区法华镇路第三小学,长宁区,121.418008,31.20912,3
上海市长宁区适存小学,长宁区,121.365198,31.215234,2
上海市长宁区绿苑小学,长宁区,121.356533,31.213661,2
上海市建青实验学校(小学),长宁区,121.396094,31.194376,2
上海市长宁实验小学,长宁区,121.383515,31.211236,2
上海市长宁区愚园路第一小学,长宁区,121.421324,31.219706,1
上海市长宁区江苏路第五小学(昭化东路校区),长宁区,121.432072,31.216165,1
上海市长宁区江苏路第五小学(华阳路校区),长宁区,121.419444,31.224569,1
上海市黄浦区淮海中路小学,黄浦区,121.468443,31.22291,4
上海市黄浦区复兴中路第二小学,黄浦区,121.468456,31.217689,4
上海市七色花小学,黄浦区,121.46429,31.222021,4
上海市黄浦区卢湾三中心小学,黄浦区,121.471502,31.225371,4
上海市黄浦区卢湾二中心小学,黄浦区,121.458862,31.216711,1
华东师范大学附属卢湾辅读实验学校(小学),黄浦区,121.475361,31.208,4
上海市徐汇区世界小学,徐汇区,121.435037,31.210057,1
上海市位育实验学校(小学),徐汇区,121.44884,31.220065,4
上海市徐汇区启新小学,徐汇区,121.41486,31.133116,3
华东理工大学附属小学,徐汇区,121.419088,31.140133,3
上海市实验学校附属小学,徐汇区,121.424453,31.13368,3
上海交通大学附属小学,徐汇区,121.422891,31.194394,3
上海市徐汇区康宁科技实验小学,徐汇区,121.421924,31.158135,3
上海市徐汇区徐汇实验小学,徐汇区,121.448485,31.140076,3
上海市徐汇区康健外国语实验小学,徐汇区,121.409025,31.156455,2
上海师范大学第三附属实验学校(小学),徐汇区,121.433417,31.165323,2
上海市裘锦秋实验学校,黄浦区,121.460843,31.242115,3
上海市黄浦区巨鹿路第一小学,黄浦区,121.455571,31.217716,3
上海市黄浦区北京东路小学,黄浦区,121.480508,31.242055,3
上海市长宁区江苏路第五小学(长宁路校区),长宁区,121.422388,31.228389,1
上海市静安区彭浦新村第一小学,静安区,121.454159,31.31095,2
上海市静安区闸北第二中心小学,静安区,121.429282,31.28288,2
上海市教育科学研究院实验小学,徐汇区,121.459721,31.203131,4
上海市徐汇区江南新村小学,徐汇区,121.458069,31.194635,4
上海市徐汇区日晖新村小学,徐汇区,121.460117,31.197395,4
上海市徐汇区东安三村小学,徐汇区,121.441075,31.188223,4
上海市徐汇区东二小学,徐汇区,121.446336,31.185639,2
上海市徐汇区吴中路小学,徐汇区,121.417751,31.194154,4
上海市徐汇区光启小学,徐汇区,121.433808,31.185868,4
上海市徐汇区虹桥路小学,徐汇区,121.424339,31.198424,4
上海市徐汇区汇师小学（南站校区）暂名,徐汇区,121.428128,31.190404,1
上海市黄浦区中华路第三小学,黄浦区,121.493651,31.218906,4
上海市黄浦区董家渡路第二小学,黄浦区,121.491904,31.22444,4
